track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood
4J95lPA0dj6HVDs4zwo2jn,"['Yasser Desai', 'Altamash Faridi', 'Rashmi Virag']","Dhoonde Akhiyaan (From ""Jabariya Jodi"")",Dhoonde Akhiyaan,56,275399,0,0.691,0.734,7,-5.393,1,0.0324,0.447,1.07e-06,0.114,0.847,95.026,4,pop-film,0.7573333333333333
3sr7kWetNpobjNZeSUGvWH,['Don Omar'],FELIZ CUMPLEAÑOS,Dile,1,206986,0,0.822,0.744,9,-6.096,1,0.094,0.173,7.03e-05,0.0692,0.747,94.04,4,latino,0.7709999999999999
5sOHEiisdvTE72NZ2wFJvG,['FKA twigs'],I'm Blue - Hits of 2022,killer,0,176876,0,0.401,0.619,0,-7.035,0,0.21,0.168,0.0,0.272,0.757,78.763,4,alternative,0.5923333333333334
0CyiCor3YLnPcBkZ04cLz2,"['Voicemail', 'Delly Ranks', 'Bogle']",Biggest Ragga Dancehall Anthems 2004,Weh Di Time,20,239693,0,0.823,0.782,9,-4.546,0,0.198,0.391,0.0,0.138,0.939,109.892,4,j-dance,0.848
2ZGpOdeDi1vcwvi88eU91I,['Mini Pop Kids'],Mini Pop Kids 13,Fight Song,9,205080,0,0.433,0.637,7,-4.955,1,0.0585,0.293,0.0,0.157,0.438,175.852,4,kids,0.5026666666666667
0UY3deGYcjFNhWFfXvIaTM,['Barış Manço'],"Mançoloji, Vol. 1",İşte Hendek İşte Deve,37,212662,0,0.683,0.835,5,-10.584,1,0.0404,0.218,0.000584,0.254,0.784,93.012,4,turkish,0.7673333333333333
2BxdBN7l5r5dxj9yUJfkvi,['Souljah'],Mestakung,Sudah Sudahlah,43,248032,0,0.652,0.78,2,-3.523,0,0.0764,0.574,0.0,0.0785,0.9,168.021,4,ska,0.7773333333333333
3IT6wMBpuSOiTmM79vanaE,['Nessa Barrett'],Your Perfect Soundtrack,die first,0,177108,0,0.444,0.669,8,-6.727,0,0.125,0.0669,0.0,0.124,0.44,183.441,4,electro,0.5176666666666666
10xV5l9nhLvFpR8mqzs0bL,"['Marshmello', 'Khalid']",Numb,Numb,87,155588,0,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,4,edm,0.7726666666666667
4c0Mgs559lG4sPiEC3XcxY,['B.B. King'],To Know You Is To Love You,To Know You Is To Love You,54,515000,0,0.872,0.384,0,-16.204,1,0.0388,0.418,0.317,0.0687,0.938,102.597,4,blues,0.7313333333333333
1gihuPhrLraKYrJMAEONyc,['Calvin Harris'],18 Months,Feel So Close - Radio Edit,80,206413,0,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4,electro,0.85
70H7Wj19PsnNtTDqJSIrAQ,['Alex Ubago'],Míranos (Versión acústica),Míranos - Versión acústica,29,227591,0,0.466,0.57,11,-5.194,1,0.031,0.755,0.0,0.0952,0.366,149.84,4,spanish,0.4673333333333334
1A8MSKt4LxFlxIInXNE9dq,"['Andrew Lloyd Webber', 'John Williams', 'Boston Pops Orchestra']",Greatest Hits of Broadway,The Music of the Night from Phantom of the Opera - Instrumental,22,216866,0,0.0967,0.103,1,-18.44,1,0.0428,0.957,0.839,0.0999,0.0392,76.436,5,show-tunes,0.07963333333333333
2F4O9kXUwLXzOL39jI19kh,['Plaid'],Trainer,Scoobs In Columbia,11,334893,0,0.702,0.996,10,-7.349,0,0.0415,0.0746,0.818,0.298,0.693,118.128,4,idm,0.797
0PC5KYZpygPcpeq063k4Kj,['Emancipator'],Safe in the Steep Cliffs,Nevergreen,49,215946,0,0.511,0.42,3,-9.794,0,0.0286,0.375,0.84,0.152,0.239,170.873,4,trip-hop,0.38999999999999996
089RvMWm7LDTQbPNTTMCXH,['Jessy Bulbo'],Taras Bulba,Mi Muñequita Sintética,37,198786,1,0.62,0.849,11,-3.563,0,0.0336,0.154,3.81e-05,0.365,0.78,150.083,4,garage,0.7496666666666666
5tYSvirNbEi8CsVVNlgRR6,['Shinedown'],Somewhere in the Stratosphere,Save Me - Acoustic; Live from Kansas City,26,220893,0,0.602,0.92,11,-4.2,0,0.0339,0.000777,3.43e-06,0.983,0.608,116.042,4,grunge,0.71
7sGOys7yEgJ7i0vMl6zSUt,['Monolake'],DJ-Kicks (DJ Tennis) [DJ Mix],Pio - Mixed,11,351487,0,0.8,0.336,0,-16.054,1,0.0684,0.000642,0.869,0.133,0.6,120.863,5,idm,0.5786666666666668
1GLmaPfulP0BrfijohQpN5,['The Beach Boys'],"Shut Down, Vol. 2 (Remastered)",Don't Worry Baby - Remastered 2001,65,169933,0,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,4,psych-rock,0.6006666666666667
6bk11TH82XrT5QUC1gDw9A,['Secret Garden'],Songs From A Secret Garden,Nocturne,57,193680,0,0.219,0.298,2,-11.52,0,0.0313,0.944,0.254,0.094,0.154,79.136,3,opera,0.22366666666666668
71Om1XpFNVscs2mtgwL8Hi,['Mabel'],Helloween Party,Bad Behaviour,0,205880,0,0.797,0.812,0,-4.334,1,0.0414,0.00451,2.19e-06,0.0787,0.421,106.998,4,edm,0.6766666666666666
4hL09Lfpu8yCjO6ijqIgvQ,"['Bynmc', 'MegaR', 'ZerØ']",Adán vs Zeus Rap. El creador y su creación,Adán vs Zeus Rap. El creador y su creación,35,384835,0,0.509,0.843,1,-6.734,1,0.429,0.56,0.0,0.168,0.593,79.317,1,anime,0.6483333333333333
24KgQu8B7JCyoIcMeF1xan,['Golden Features'],Vigil,Vigil,47,275832,0,0.777,0.841,4,-8.4,1,0.153,0.475,0.354,0.39,0.306,122.026,4,industrial,0.6413333333333333
79t0exFoQU0jlcpBLJrqes,['Tuxedo'],Tuxedo,Do It,52,258502,0,0.818,0.858,1,-4.219,0,0.0398,0.0638,0.245,0.256,0.753,119.609,4,synth-pop,0.8096666666666666
4taoA7P7oh1whE2Z4EHJGc,['Avernal'],El Sangriento,Hoy Podes Pudrirte,22,160106,0,0.518,0.992,6,-3.794,1,0.0565,0.00112,0.000546,0.133,0.381,90.018,4,death-metal,0.6303333333333333
21Pkk76qnEgB5d0iDot4Dk,['One Hope'],the overthinker,the overthinker,52,196250,0,0.663,0.351,5,-12.064,0,0.39,0.406,0.0,0.147,0.477,118.505,4,sad,0.49700000000000005
2aTKwzFzfCnbn3Bf1HNHEQ,"['Sarah Charles Lewis', 'Tuck Everlasting Original Broadway Cast Ensemble']",Tuck Everlasting (Original Broadway Cast Recording),The Wheel,27,258853,0,0.473,0.206,3,-12.443,1,0.0372,0.834,0.0,0.0813,0.504,105.472,4,show-tunes,0.39433333333333326
24SDeYAeTFda8OUzVI1VR6,"['Popcaan', 'Drake', 'PARTYNEXTDOOR']",FIXTAPE,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),64,259651,0,0.571,0.747,7,-4.659,1,0.17,0.478,0.0,0.116,0.635,106.253,4,dancehall,0.651
0i4DD28r4qZ4snbvpBfIUb,['Sexteto Mayor'],From Argentina To The World,Taconeando,20,227453,0,0.361,0.259,2,-13.516,0,0.0332,0.747,0.278,0.197,0.368,108.489,4,tango,0.3293333333333333
2eKK8yecnfdNlpqmy1R7oR,['Adriana Varela'],Vivo (Deluxe Version),Los Cosos de al Lao,17,154226,0,0.49,0.458,7,-10.925,0,0.13,0.704,0.0,0.976,0.547,108.143,4,tango,0.49833333333333335
1LikBIcmCec6zE64SHFcMK,['Porter Robinson'],Worlds,Fresh Static Snow,45,358760,0,0.636,0.499,9,-5.775,1,0.041,0.00744,0.0169,0.112,0.234,90.996,4,dubstep,0.4563333333333333
2YGWqGwDmlwVfK2sxt11uV,['Sorriso Maroto'],É Diferente (Ao Vivo),A Primeira Namorada - Ao Vivo,59,219640,0,0.635,0.76,7,-8.229,1,0.0326,0.611,0.0,0.802,0.652,140.007,4,pagode,0.6823333333333333
3zIG0WuI5RoJsFYnErkFDU,['BTS'],FACE YOURSELF,Don't Leave Me,64,227413,0,0.62,0.778,8,-4.622,0,0.0724,0.116,0.0,0.312,0.386,147.012,4,k-pop,0.5946666666666668
4FcflXjkAiJ2pV02GyIvsG,['Ella Fitzgerald'],Best Christmas Music 2022,Sleigh Ride,0,175986,0,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,jazz,0.5063333333333333
7MYVzRqFoLXnOKc1Ls7pzE,['CamaSutra'],Tego Chcesz,Będę Tylko Twoja,32,188174,0,0.735,0.916,11,-3.53,1,0.0511,0.0476,2.4e-06,0.397,0.914,137.008,4,disco,0.855
4BrvRsCZ1fY6NPJMtDKGFD,['James Brown'],70s Christmas Party,Christmas Is Love,0,359306,0,0.584,0.654,9,-5.902,0,0.0635,0.359,5.92e-06,0.0798,0.708,122.065,4,soul,0.6486666666666666
3uc8AGNL0KbvISIrjnfRvN,"['Lauv', 'LANY']",~how i'm feeling~,Mean It,71,232853,0,0.746,0.45,7,-8.543,1,0.0873,0.0407,0.0,0.172,0.336,95.998,4,electro,0.5106666666666667
4jp4Z02kzzg8gK0NmDGgml,"['K-391', 'Alan Walker', 'Tungevaag', 'Mangoo']",Play,Play,70,167976,0,0.52,0.798,6,-5.498,0,0.0391,0.101,0.0,0.0932,0.168,101.944,4,dance,0.49533333333333335
70rQq4iMDKjX8UlG7QlHUa,"['Daddy Yankee', 'Bad Bunny']",Reggeaton Imperdible,X ÚLTIMA VEZ,2,192477,1,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,hip-hop,0.7466666666666667
0E1MMx1sGNutWgkNpgDRml,['Willie Colón'],Corazón Guerrero,Corazón Guerrero,27,472506,0,0.467,0.483,2,-10.804,0,0.0482,0.748,0.013,0.0369,0.723,95.889,4,salsa,0.5576666666666666
3k3NWokhRRkEPhCzPmV8TW,"['Bad Bunny', 'Bomba Estéreo']",Un Verano Sin Ti,Ojitos Lindos,95,258298,0,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4,latino,0.5336666666666667
7uhINGViZPygI2AljxO8KN,['Prateek Kuhad'],cold/mess,cold/mess,61,281218,0,0.509,0.477,11,-6.571,1,0.0262,0.309,0.0168,0.158,0.283,146.031,3,songwriter,0.423
2ZweT6b3eqIrX8OV33ldlO,['dj Shawny'],Little Einsteins Tangin Song,Little Einsteins Tangin Song,41,66913,0,0.711,0.728,1,-3.977,0,0.335,0.00631,0.00109,0.0887,0.461,164.871,4,club,0.6333333333333334
4AlYcFtrZo18Ctuqor6A6l,['Miguel Montero'],Antiguo Reloj De Cobre,Cucusita,20,164560,0,0.397,0.343,9,-13.172,0,0.121,0.883,8.32e-05,0.236,0.602,167.691,3,tango,0.44733333333333336
5OaqffbeQyVVqtnA71Ci7K,['Estopa'],Estopa,Por la Raja de Tu Falda,63,202826,0,0.759,0.722,9,-9.906,0,0.0765,0.323,0.0,0.719,0.928,97.518,4,spanish,0.8029999999999999
2jRISGsO4RTm9CQVb1Jusn,['Clara Mae'],I'm Not Her,I'm Not Her,60,194204,0,0.477,0.51,2,-8.94,1,0.275,0.228,0.0,0.0755,0.477,111.893,5,electro,0.488
7LG0FEpKoKvHCv1S6FUrBY,['Slaughter to Prevail'],1984,1984,60,215000,1,0.465,0.993,0,-1.734,1,0.0903,0.000354,0.0335,0.464,0.204,92.472,4,metalcore,0.5539999999999999
7lHu3fWx7itEyaLIegpcQp,['Senri Oe'],Senri Oe Singles ~First Decade~ (2022 Remastered),格好悪いふられ方,43,237773,0,0.732,0.939,8,-5.039,1,0.0285,0.487,0.000181,0.184,0.96,132.148,4,j-pop,0.8769999999999999
4L6mJJhYx3PNhKhaXX4BCw,['Lynyrd Skynyrd'],Country Car Hits,Simple Life,1,197106,0,0.549,0.891,6,-4.044,1,0.0351,0.0141,0.00323,0.0661,0.508,111.996,4,blues,0.6493333333333333
07CgSl5vWjcXMX4zYkbrLX,"['Irmã Kelly Patrícia', 'Padre Marcelo Rossi', 'Padre Fábio De Melo', 'Padre Reginaldo Manzotti', 'Padre Omar', 'Padre Juarez de Castro', 'Padre Gleuson Gomes']",No Coração da Jornada,Tantum Ergo,43,314746,0,0.272,0.161,4,-13.479,1,0.0314,0.884,2.07e-05,0.12,0.221,102.972,5,brazil,0.218
0QHST6B9xjYappSPkG6M6V,['Clinton Kane'],MAYBE SOMEDAY IT'LL ALL BE OK,14,62,140800,0,0.608,0.634,2,-5.65,1,0.212,0.722,0.0,0.12,0.701,104.51,4,songwriter,0.6476666666666667
5wyauejnMiKDBnj77HIkVe,"['Hans Zimmer', 'Orchestra']",Hans Zimmer: Epic Scores,Journey to the Line [The Thin Red Line],15,593773,0,0.173,0.147,9,-21.776,0,0.0438,0.397,0.902,0.824,0.029,114.733,4,german,0.11633333333333333
0vwuwEWl4gyO0IdxkbLoBd,['Matanza'],Pior Cenário Possível,Pior Cenário Possível,38,212453,0,0.477,0.976,9,-6.107,1,0.0841,0.00225,1.98e-05,0.371,0.453,133.104,4,punk-rock,0.6353333333333333
3y6h0VvSiZREDgu3hf4mTk,"['John Rutter', 'Bryn Terfel', 'Côrdydd', 'Sioned James', 'Welsh National Opera Orchestra', 'Tecwyn Evans']",Classical Christmas,Shepherd's Pipe Carol (Adapted by Chris Hazell),0,177794,0,0.443,0.208,5,-19.566,1,0.0399,0.969,0.332,0.0629,0.636,129.926,3,british,0.429
4BJWZYtoDhqFIYXZYpu3NI,['Zach Diamond'],Boomerang,Boomerang,53,160520,0,0.831,0.617,7,-8.751,0,0.0613,0.169,0.0,0.126,0.712,144.086,4,sad,0.7200000000000001
1IRxvWJQH2C2lEijahaXnj,['Backdrop Falls'],There’s No Such Place As Home,Big Lie,31,173403,0,0.559,0.881,4,-4.377,0,0.0758,0.000895,0.0,0.0839,0.653,134.9,4,hardcore,0.6976666666666667
32JCdFUWg4FoFQ4Mdc4v5o,['陳芬蘭'],金曲當年情 : 世紀國語經典精選第二集,我沒有騙你,23,216840,0,0.325,0.314,10,-9.064,0,0.0302,0.864,3.23e-05,0.0824,0.164,107.092,4,mandopop,0.26766666666666666
569BGSWQapYD8Niuy67Cal,"['Seven Lions', 'Blastoyz', 'Fiora']",After Dark (feat. Fiora),After Dark (feat. Fiora),48,229859,0,0.558,0.976,1,-3.906,0,0.125,0.00316,0.38,0.166,0.301,142.003,4,dub,0.6116666666666667
5ixoBI0BBdna1UfuuLKWTy,['Frei.Wild'],15 Jahre Deutschrock & SKAndale,"Willig, sexy und perfekt",38,233204,0,0.609,0.874,1,-2.191,0,0.0364,0.00424,0.0,0.222,0.433,140.034,4,german,0.6386666666666667
4yffABDkB5A9flvr9vQFck,['The Black Keys'],Brothers (Deluxe Remastered Anniversary Edition),Howlin' for You,66,191956,0,0.725,0.747,11,-5.545,1,0.0876,0.0272,0.0468,0.104,0.38,132.921,4,alt-rock,0.6173333333333333
2BSr4z0b0hPo6akG3IXwi0,['Kyson'],Lucky Notes,Forget the Rules,0,91146,1,0.298,0.187,0,-16.155,1,0.0396,0.871,0.83,0.113,0.106,126.192,1,idm,0.19699999999999998
00KPxBKmSKv26ComPaEZe8,['Alexandre Desplat'],The Lost King (Original Motion Picture Soundtrack),City’s Archives,19,205453,0,0.195,0.228,5,-14.972,0,0.0371,0.939,0.904,0.0841,0.0725,93.764,4,french,0.16516666666666668
0cGDfhaOnszdtBjjaqkg0h,['Avslappning Sound'],Relaxed Spa,Seaside Soothe,34,134000,0,0.172,0.357,2,-12.294,1,0.0466,0.892,0.000343,0.137,0.0313,124.701,4,sleep,0.18676666666666664
1uNdxNGDhjTTbsdRtx6s1r,"['Ati242', 'Şehinşah']",Junkie Flow,Press,43,179652,1,0.808,0.666,7,-8.636,1,0.164,0.0144,5.36e-05,0.241,0.467,96.026,4,turkish,0.6470000000000001
4mNyO53ZehHoxIRzlReaNI,"['Hank Williams', 'Drifting Cowboys']",The Complete Hank Williams,Message To My Mother,9,243266,0,0.435,0.197,0,-13.696,1,0.033,0.948,0.00592,0.381,0.355,128.541,4,honky-tonk,0.329
5xRci5qoXzzJgR6ZwzXO2J,"['Pritam', 'Rahat Fateh Ali Khan']",Mausam,Rabba Main Toh Mar Gaya Oye,57,269003,0,0.586,0.833,9,-3.046,1,0.069,0.469,0.0,0.312,0.593,87.892,4,indian,0.6706666666666666
5lxHWIYfTTtp4obD51FIws,['Stiv Bators'],Disconnected,A Million Miles Away,20,225480,0,0.475,0.936,7,-6.92,1,0.0757,0.119,4.73e-06,0.849,0.611,136.848,4,power-pop,0.674
339jxAN4N3d1kBp6WGxmlL,['Qujila Yoluno Machi'],星に願いを込めて,夜間飛行少年,38,270133,0,0.423,0.96,7,-3.939,1,0.082,0.00172,0.0,0.173,0.393,104.965,4,j-rock,0.592
0pg2VKzTsBdbxPzcOkReY2,['Kid Loco'],A Grand Love Story,A grand love theme,51,242800,0,0.553,0.659,9,-9.281,1,0.0613,0.502,0.859,0.184,0.46,183.815,4,trip-hop,0.5573333333333333
4AGvLxSCLfHOjndRFUXPGd,['Dazaranha'],Daza,Fé Menina,45,189773,0,0.578,0.588,9,-8.281,1,0.0493,0.332,0.0,0.15,0.797,162.943,4,reggae,0.6543333333333333
7vEF7OrChbeZg7ZAXwnAZT,['Ryan Sickler'],Above Ground Cool,Public Restroom Attendant,20,154788,0,0.491,0.887,9,-7.859,0,0.862,0.774,0.0,0.699,0.421,131.207,5,comedy,0.5996666666666667
1DIGB5kZKiHnEb2uWxzjzY,['Big D and the Kids Table'],How It Goes,Little Bitch,35,137773,0,0.444,0.953,0,-1.644,1,0.199,0.023,0.0,0.144,0.609,189.79,4,ska,0.6686666666666667
